dim1,dim2
11.251621,-13.533089
7.4518476,-2.3916438
3.1245718,-23.107874
2.0929716,-18.84222
11.131739,11.637324
12.8806,11.185048
11.227483,13.054568
2.089189,-19.598284
2.7028773,-18.50268
5.9709587,-1.9401844
8.527274,-2.7453322
9.2076845,-4.4159546
11.695147,13.293524
10.660079,12.191054
10.065822,-1.5634974
4.302621,-22.629938
7.8270793,-2.9332035
6.112153,-1.7970649
6.4642954,-2.5176787
1.9844296,-20.227104
10.161839,-1.1979364
-0.30163106,-21.667488
9.589011,-1.2836715
3.7772465,-20.815228
3.762717,2.1243331
1.7158692,21.415693
12.342688,10.346245
-0.0177594,-21.248549
10.206588,-1.0242074
1.5901202,-19.688932
9.179741,-2.505239
0.80161136,-22.300253
11.331464,-13.466806
11.057598,-13.112566
7.037042,-0.7953092
9.700109,-2.4070275
0.8616819,-18.003654
4.8522296,2.3218598
8.898707,-4.5077295
3.0211308,-20.396137
1.5781873,-18.916018
14.212994,9.097365
11.123654,-1.6945933
12.042497,10.317281
1.0744243,-20.805067
1.4549954,-18.894367
9.9195385,0.3162783
6.265782,-1.8300667
4.8042383,-22.752865
5.8909335,0.53879994
2.0704842,20.514357
2.8377707,-23.29507
10.61256,-0.66417736
4.2995777,-22.991783
12.902047,10.593746
0.725683,-20.89281
1.6679121,-18.33104
4.59355,-19.560257
7.227138,-2.3527727
10.347905,0.8432546
6.3385644,-0.17053714
10.023228,-2.9865513
1.2717144,-18.687033
2.8035793,21.930439
9.414184,-0.83681154
10.677589,-3.0051863
11.655984,12.683443
5.484618,-0.31243837
3.082697,-19.530985
1.3681737,-22.125214
0.51697147,-18.707705
11.442386,10.716248
1.7178123,21.46502
3.4610994,-22.598087
